City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
port macquarie,-31,152,18,94,100,1,AU,1611084235
pauini,-7,-66,27,73,100,1,BR,1611084235
hovd,48,91,-11,77,100,1,MN,1611084235
inzhavino,52,42,-19,92,98,1,RU,1611084235
wilmington,34,-77,15,29,1,5,US,1611083994
mahebourg,-20,57,27,89,20,1,MU,1611084235
san andres,12,-81,30,70,20,8,CO,1611084235
georgetown,5,100,26,83,40,1,MY,1611084182
vardo,70,31,-4,93,90,5,NO,1611084235
trincomalee,8,81,25,85,24,4,LK,1611084235
saint-pierre,-21,55,29,70,75,1,RE,1611084235
berlevag,70,29,-3,68,75,11,NO,1611084236
hudiksvall,61,17,-3,98,100,2,SE,1611084236
dali,25,100,5,82,100,2,CN,1611084236
kudahuvadhoo,2,72,27,71,100,2,MV,1611084236
traverse city,44,-85,-4,68,90,6,US,1611084020
nehe,48,124,-23,90,1,3,CN,1611084236
san patricio,28,-97,24,69,90,11,US,1611084236
sungaipenuh,-2,101,17,94,65,1,ID,1611084236
bethel,41,-73,3,52,90,5,US,1611084236
natitingou,10,1,31,11,0,4,BJ,1611084236
codrington,-38,141,8,91,0,2,AU,1611084237
jeremie,18,-74,26,69,100,2,HT,1611084237
plouzane,48,-4,10,100,90,11,FR,1611084237
waipawa,-41,175,15,55,6,10,NZ,1611084237
liwale,-9,37,22,97,100,1,TZ,1611084237
barrow,71,-156,-17,85,90,11,US,1611084215
tasiilaq,65,-37,-9,73,20,4,GL,1611084237
norman wells,65,-126,-11,79,90,5,CA,1611084237
lander,42,-108,0,47,1,2,US,1611084237
pisco,-13,-76,27,61,0,9,PE,1611084237
antsohihy,-14,47,24,95,100,1,MG,1611084237
kosh-agach,50,88,-16,76,0,0,RU,1611084238
lakes entrance,-37,147,9,91,0,1,AU,1611084238
aykhal,66,111,-46,74,100,0,RU,1611084238
vila franca do campo,37,-25,15,72,40,9,PT,1611083979
bengkulu,-3,102,24,84,27,2,ID,1611084238
aksha,50,113,-15,89,100,0,RU,1611084238
porto novo,6,2,28,83,20,4,BJ,1611084238
duvan,55,57,-11,96,100,4,RU,1611084238
chokurdakh,70,147,-38,83,68,1,RU,1611084238
vagur,61,-6,4,73,37,5,FO,1611084238
evensk,61,159,-25,75,0,5,RU,1611084238
grand gaube,-20,57,27,86,56,4,MU,1611084238
the valley,18,-63,27,74,40,8,AI,1611084128
baculin,7,126,25,82,100,2,PH,1611084238
martinsicuro,42,13,3,62,0,2,IT,1611084239
severo-kurilsk,50,156,-10,86,93,10,RU,1611084239
valparaiso,-33,-71,18,82,75,4,CL,1611084059
prabumulih,-3,104,22,96,99,1,ID,1611084239
port alfred,-33,26,19,95,58,2,ZA,1611084239
geraldton,-28,114,24,78,90,3,AU,1611084239
new norfolk,-42,147,6,67,0,1,AU,1611084239
jiangyou,31,104,7,56,100,0,CN,1611084077
faanui,-16,-151,27,73,5,6,PF,1611084239
colares,38,-9,14,72,75,7,PT,1611084239
salalah,17,54,23,40,0,1,OM,1611084239
toora-khem,52,96,-17,91,98,0,RU,1611084239
okhotsk,59,143,-19,85,100,3,RU,1611084239
teya,60,92,-26,85,100,0,RU,1611084240
hangzhou,30,120,7,75,0,3,CN,1611084240
pandan,14,124,24,90,100,3,PH,1611084240
mnogovershinnyy,53,139,-30,80,0,3,RU,1611084240
zaozerne,45,33,-5,58,87,2,UA,1611084240
namibe,-15,12,22,73,100,2,AO,1611084240
dunedin,-45,170,13,54,99,4,NZ,1611084176
shingu,33,135,0,90,0,2,JP,1611084240
lorengau,-2,147,27,76,100,3,PG,1611084240
acari,-15,-74,28,47,5,5,PE,1611084240
fort nelson,58,-122,-1,93,90,8,CA,1611084240
musoma,-1,33,23,78,75,1,TZ,1611084240
salinopolis,0,-47,27,77,100,4,BR,1611084240
cabedelo,-6,-34,29,70,40,6,BR,1611084108
east london,-33,27,24,78,40,10,ZA,1611084241
bambous virieux,-20,57,27,89,20,1,MU,1611084241
puerto el triunfo,13,-88,36,34,0,4,SV,1611084241
necochea,-38,-58,25,45,0,7,AR,1611084241
kualakapuas,-3,114,26,94,75,1,ID,1611084241
tosya,41,34,-9,87,98,1,TR,1611084241
phonhong,18,102,15,77,1,0,LA,1611084241
nuuk,64,-51,0,64,75,2,GL,1611084242
dwarka,22,68,21,49,0,4,IN,1611084242
acapulco,16,-99,30,62,90,3,MX,1611084232
bairiki,1,172,25,100,75,3,KI,1611084242
banjar,-8,114,27,89,40,0,ID,1611084242
upernavik,72,-56,-9,75,100,3,GL,1611084242
san rafael,-34,-68,33,15,0,5,AR,1611084242
altamira,-3,-52,30,70,40,1,BR,1611084242
aripuana,-9,-60,24,97,96,1,BR,1611084242
sao desiderio,-12,-44,29,45,77,2,BR,1611084242
kabwe,-14,28,19,96,100,0,ZM,1611084242
straumen,63,11,1,60,0,6,NO,1611084243
diamantino,-14,-56,23,90,100,1,BR,1611084243
kawalu,-7,108,22,88,100,1,ID,1611084243
taltal,-25,-70,21,60,24,4,CL,1611084020
cap malheureux,-19,57,27,86,38,4,MU,1611084243
yumen,40,97,-7,72,99,2,CN,1611084243
faya,18,42,14,94,0,2,SA,1611084243
kruisfontein,-34,24,21,79,2,1,ZA,1611084243
gracac,44,15,6,93,0,1,HR,1611084243
cortez,37,-108,2,69,90,8,US,1611084243
aklavik,68,-135,-18,85,75,5,CA,1611084243
chapais,49,-74,-17,71,75,0,CA,1611084243
isangel,-19,169,27,78,100,0,VU,1611084244
bay roberts,47,-53,2,82,60,2,CA,1611084244
touros,-5,-35,28,69,75,6,BR,1611084244
tutoia,-2,-42,29,70,75,9,BR,1611084244
morrisburg,44,-75,-2,68,90,1,CA,1611084244
carballo,43,-8,10,84,100,4,ES,1611084244
tromso,69,18,-6,79,0,1,NO,1611084035
hithadhoo,0,73,27,70,0,3,MV,1611084244
polson,47,-114,0,63,90,1,US,1611083975
temiscaming,46,-79,-8,86,100,2,CA,1611084244
tura,25,90,14,61,0,1,IN,1611084245
beyneu,45,55,-5,89,90,4,KZ,1611084245
honiara,-9,159,25,82,100,0,SB,1611084245
gouyave,12,-61,29,65,20,10,GD,1611084245
launceston,-41,147,6,81,0,2,AU,1611084118
pevek,69,170,-33,86,100,1,RU,1611084245
waingapu,-9,120,25,82,100,2,ID,1611084245
port-cartier,50,-66,-10,62,23,6,CA,1611084245
gumrak,48,44,-13,92,75,5,RU,1611084245
dixon,38,-121,15,24,1,9,US,1611084245
snasa,64,12,-4,74,0,9,NO,1611084245
katsuura,35,140,2,38,20,9,JP,1611084245
torbay,47,-52,2,87,75,6,CA,1611084246
delijan,33,50,5,55,1,2,IR,1611084246
namatanai,-3,152,26,84,74,3,PG,1611084188
alofi,-19,-169,27,89,100,1,NU,1611084246
rawson,-43,-65,25,36,0,4,AR,1611084089
aswan,24,32,13,38,53,4,EG,1611084246
wilkie,52,-108,-2,64,1,3,CA,1611084246
sagauli,26,84,15,76,0,1,IN,1611084246
berdigestyakh,62,126,-39,77,100,3,RU,1611084246
alyangula,-13,136,25,100,40,2,AU,1611084246
shahrud,36,54,4,62,0,4,IR,1611084246
sola,-13,167,28,76,90,3,VU,1611084247
dhanbad,23,86,18,44,61,0,IN,1611084247
bicester,51,-1,10,93,90,8,GB,1611084247
khatanga,71,102,-33,85,100,3,RU,1611084247
grindavik,63,-22,1,80,75,10,IS,1611084247
kushmurun,52,64,-12,92,100,4,KZ,1611084247
ola,59,151,-27,80,92,5,RU,1611084247
aksarka,66,67,-31,86,99,1,RU,1611084247
cherskiy,68,161,-40,81,100,2,RU,1611084247
peniche,39,-9,13,73,100,5,PT,1611084247
sao joao da barra,-21,-41,30,54,0,10,BR,1611084186
inverell,-29,151,18,94,0,2,AU,1611084248
yerbogachen,61,108,-41,79,99,1,RU,1611084248
sukpak,51,94,-15,90,100,0,RU,1611084248
pangnirtung,66,-65,1,51,75,8,CA,1611084248
dawei,14,98,18,60,23,1,MM,1611084207
loandjili,-4,11,28,83,20,2,CG,1611084248
arlit,18,7,19,22,0,5,NE,1611084248
antalaha,-14,50,23,93,100,7,MG,1611084248
yar-sale,66,70,-31,85,77,3,RU,1611084248
coihaique,-45,-72,23,38,20,4,CL,1611084248
nome,64,-165,-19,71,1,6,US,1611084248
monte carmelo,-18,-47,26,59,100,3,BR,1611084021
aksarayskiy,46,48,-6,86,75,2,RU,1611084249
balabac,7,117,26,86,100,6,PH,1611084249
bilibino,68,166,-41,76,95,0,RU,1611084249
havoysund,70,24,-4,68,0,3,NO,1611084249
jacksonville,30,-81,18,27,20,1,US,1611084098
krasnoarmeysk,51,45,-16,56,95,2,RU,1611084249
vanimo,-2,141,25,82,100,0,PG,1611084249
haines junction,60,-137,-2,80,100,1,CA,1611084249
jiuquan,39,98,-8,73,64,1,CN,1611084249
santa maria do suacui,-18,-42,26,63,0,2,BR,1611084249
salem,11,78,20,76,54,1,IN,1611083986
humaita,-7,-63,26,90,100,0,BR,1611084249
malanje,-9,16,19,75,100,1,AO,1611084249
barillas,15,-91,22,53,40,8,GT,1611084250
chunskiy,56,99,-17,93,100,1,RU,1611084250
leo,11,-2,26,15,0,3,BF,1611084250
quelimane,-17,36,29,89,40,1,MZ,1611084250
vao,-22,167,25,84,59,1,NC,1611084250
duluth,46,-92,-12,66,40,3,US,1611084055
troitskoye,52,84,-22,90,17,1,RU,1611084250
nata,8,-80,32,51,20,7,PA,1611084250
sinnamary,5,-52,27,71,94,5,GF,1611084250
tekkali,18,84,19,83,0,1,IN,1611084250
mariakani,-3,39,23,84,66,3,KE,1611084250
half moon bay,37,-122,16,30,1,12,US,1611084251
maravilha,-26,-53,23,85,87,3,BR,1611084251
kharan,28,65,14,47,0,1,PK,1611084251
shihezi,44,86,-12,89,100,0,CN,1611084251
puerto quijarro,-17,-57,27,75,96,1,BO,1611084251
vostok,46,135,-29,86,5,2,RU,1611084251
madison,34,-86,11,54,90,4,US,1611084189
sept-iles,50,-66,-10,62,47,6,CA,1611084078
biltine,14,20,21,22,0,6,TD,1611084251
surt,31,16,14,56,8,4,LY,1611084252
beringovskiy,63,179,-28,86,100,7,RU,1611084252
te anau,-45,167,6,88,100,3,NZ,1611084252
darnah,32,22,12,62,0,10,LY,1611084132
chudovo,59,31,-10,96,90,2,RU,1611084252
margate,51,1,10,78,100,2,GB,1611084065
port hardy,50,-127,7,93,90,4,CA,1611084252
bandarbeyla,9,50,23,76,100,8,SO,1611084252
fairbanks,64,-147,-4,80,90,7,US,1611084213
cidreira,-30,-50,24,59,0,5,BR,1611084252
nevsehir,38,34,-7,79,0,1,TR,1611084252
edgewater,28,-80,20,45,1,4,US,1611084253
santiago de las vegas,22,-82,26,57,75,5,CU,1611084253
sal rei,16,-22,22,64,100,7,CV,1611084253
boden,65,21,-12,92,90,2,SE,1611084253
balint,45,21,-1,100,100,4,RO,1611084200
tulsipur,28,82,11,67,0,2,NP,1611084253
krasnoselkup,65,82,-27,89,100,1,RU,1611084253
dosso,13,3,24,18,12,4,NE,1611084253
seaford,50,0,9,90,100,4,GB,1611084253
leh,34,77,-12,68,0,0,IN,1611084253
zhicheng,30,111,8,62,73,1,CN,1611084181
verkhnyaya inta,65,60,-19,92,97,1,RU,1611084253
vila praia de ancora,41,-8,14,71,75,8,PT,1611084254
ust-maya,60,134,-45,75,4,1,RU,1611084254
morrinhos,-17,-49,28,61,100,3,BR,1611084254
narsaq,60,-46,7,31,75,5,GL,1611084254
corner brook,48,-57,-1,74,75,3,CA,1611084089
andros town,24,-77,24,50,20,5,BS,1611084010
ixtapa,20,-105,26,53,40,2,MX,1611084254
barabai,-2,115,23,87,100,0,ID,1611084254
mercedes,-34,-59,33,36,0,1,AR,1611084254
zelhem,52,6,8,87,100,3,NL,1611084254
coremas,-7,-37,34,29,100,2,BR,1611084254
port lincoln,-34,135,16,78,0,4,AU,1611084254
yagodnoye,62,149,-35,81,62,1,RU,1611084254
coos bay,43,-124,11,46,1,4,US,1611084237
meulaboh,4,96,24,88,95,1,ID,1611084255
iracoubo,5,-53,26,71,70,5,GF,1611084255
calbuco,-41,-73,23,60,20,5,CL,1611084255
uyemskiy,64,40,-5,86,90,4,RU,1611084255
bam,29,58,11,38,0,1,IR,1611084146
udachnyy,66,112,-49,51,100,0,RU,1611084255
fukue,32,128,8,65,0,4,JP,1611084255
marathon,44,-89,-6,62,90,4,US,1611084255
rio sereno,8,-82,22,39,0,2,PA,1611084255
kurdzhinovo,43,40,-11,87,0,2,RU,1611084255
vikravandi,12,79,21,85,3,3,IN,1611084256
tilichiki,60,166,-32,84,100,6,RU,1611084256
san policarpo,12,125,26,85,99,6,PH,1611084256
kodiak,57,-152,-6,73,1,3,US,1611084200
flinders,-34,150,16,85,78,0,AU,1611084256
caravelas,-17,-39,28,61,0,4,BR,1611084256
chumikan,54,135,-28,73,0,12,RU,1611084256
shache,38,77,-4,81,0,1,CN,1611084256
bayeux,-7,-34,29,70,40,6,BR,1611084256
tuatapere,-46,167,9,88,100,6,NZ,1611084256
havelock,34,-76,14,41,1,5,US,1611084256
rongcheng,30,117,5,64,0,1,CN,1611084256
alice springs,-23,133,25,36,46,1,AU,1611084257
prado,-17,-39,27,66,0,4,BR,1611084257
ancud,-41,-73,23,60,20,4,CL,1611084257
sao sepe,-30,-53,29,42,0,6,BR,1611084257
weihai,37,122,1,89,0,5,CN,1611084257
bara,10,10,24,19,0,4,NG,1611084257
chimbote,-9,-78,24,65,100,5,PE,1611084257
rio grande,-32,-52,26,57,20,5,BR,1611084082
sungairaya,0,108,24,91,100,3,ID,1611084257
villarrica,-25,-56,30,52,6,2,PY,1611084257
dakar,14,-17,19,77,65,4,SN,1611083963
paamiut,61,-49,-1,86,15,2,GL,1611084258
navolato,24,-107,23,43,90,2,MX,1611084258
bolobo,-2,16,24,71,1,0,CD,1611084258
novo aripuana,-5,-60,24,94,91,1,BR,1611084258
bambanglipuro,-7,110,24,88,91,1,ID,1611084258
catamarca,-28,-65,26,45,15,1,AR,1611084040
kieta,-6,155,25,77,26,1,PG,1611084258
wanaka,-44,169,8,72,95,2,NZ,1611084258
trairi,-3,-39,27,70,100,5,BR,1611084258
thompson,55,-97,-23,77,75,3,CA,1611084258
sinazongwe,-17,27,24,83,100,1,ZM,1611084258
asau,46,26,-6,93,73,1,RO,1611084258
qaqortoq,60,-46,7,31,75,5,GL,1611084258
manakara,-22,48,25,83,100,0,MG,1611084259
macae,-22,-41,31,55,20,7,BR,1611084259
ciudad bolivar,8,-63,31,49,95,3,VE,1611084259
hartford,41,-72,5,59,89,0,US,1611084120
galle,6,80,24,87,94,3,LK,1611084190
puerto baquerizo moreno,0,-89,30,74,75,7,EC,1611084259
dabakala,8,-4,29,16,0,0,CI,1611084259
buraydah,26,43,16,55,0,4,SA,1611084148
portsmouth,50,-1,10,94,100,0,GB,1611084259
halifax,44,-63,0,40,20,6,CA,1611084111
gari,59,62,-21,88,100,2,RU,1611084259
la ronge,55,-105,-7,79,100,3,CA,1611084259
plettenberg bay,-34,23,19,87,31,3,ZA,1611084259
berbera,10,45,24,63,0,3,SO,1611084260
sitka,57,-135,4,81,75,6,US,1611084260
karnobat,42,26,-3,80,0,1,BG,1611084260
wellington,-41,174,15,55,89,10,NZ,1611083992
agua verde,22,-106,24,46,90,1,MX,1611084260
talnakh,69,88,-32,85,100,0,RU,1611084260
high prairie,55,-116,1,64,100,6,CA,1611084260
marsh harbour,26,-77,20,57,0,5,BS,1611084234
provideniya,64,-173,-23,86,62,2,RU,1611084260
massaguet,12,15,25,16,0,4,TD,1611084260
wasilla,61,-149,0,93,90,1,US,1611084261
camana,-16,-72,24,64,0,3,PE,1611084261
kabare,-2,28,16,83,37,0,CD,1611084261
ferrol,43,-8,12,63,100,8,ES,1611084261
benguela,-12,13,24,68,100,2,AO,1611084261
ovalle,-30,-71,28,29,0,4,CL,1611084261
natal,-5,-35,28,74,75,5,BR,1611083999
sobolevo,54,31,-18,93,41,1,RU,1611084261
lasa,46,10,-1,73,0,1,IT,1611084261
wajir,1,40,31,23,100,3,KE,1611084261
kovdor,67,30,-15,96,96,2,RU,1611084261
pacific grove,36,-121,18,12,1,4,US,1611084261
sao filipe,14,-24,23,64,100,2,CV,1611084261
uige,-7,15,19,92,38,1,AO,1611084262
negru voda,43,28,-3,82,0,3,RO,1611084262
barentu,15,37,15,82,0,2,ER,1611084005
lompoc,34,-120,14,71,1,0,US,1611084262
hamilton,39,-84,7,39,1,2,US,1611084262
urucui,-7,-44,29,58,100,1,BR,1611084262
gaoua,10,-3,27,15,0,1,BF,1611084262
vila,42,-8,9,76,100,1,PT,1611084262
puerto leguizamo,0,-74,33,38,76,2,CO,1611084262
mount gambier,-37,140,6,100,0,3,AU,1611084262
konstantinovka,49,127,-25,86,95,2,RU,1611084262
menongue,-14,17,17,85,100,1,AO,1611084263
shelburne,44,-80,-1,83,100,7,CA,1611084263
airai,-8,125,16,100,100,1,TL,1611084263
baft,29,56,5,52,5,2,IR,1611084263
moa,20,-74,24,86,100,7,CU,1611084263
le vauclin,14,-60,29,65,75,8,MQ,1611084263
olmos,-5,-79,33,48,100,2,PE,1611084263
puerto del rosario,28,-13,17,72,20,1,ES,1611084263
xiantao,30,113,7,57,27,2,CN,1611084263
champerico,14,-91,32,48,20,2,GT,1611084264
sovetskiy,61,63,-26,86,74,3,RU,1611084264
seminole,28,-81,21,30,1,2,US,1611084264
paraiso,9,-83,28,53,0,9,CR,1611084018
alpiarca,39,-8,12,57,100,0,PT,1611084264
sechura,-5,-80,28,50,100,5,PE,1611084264
tessalit,20,1,20,19,0,4,ML,1611084264
hailar,49,119,-17,89,100,2,CN,1611084264
lavrentiya,65,-171,-26,82,67,2,RU,1611084264
svobodnyy,51,128,-29,86,79,2,RU,1611084265
shambu,9,37,13,34,0,1,ET,1611084265
stonewall,50,-97,-18,71,20,4,CA,1611084265
maniitsoq,65,-52,0,81,100,3,GL,1611084265
petukhovo,55,67,-19,91,100,4,RU,1611084265
obo,5,26,24,25,33,2,CF,1611084265
morondava,-20,44,29,75,100,3,MG,1611084265
auki,-8,160,25,81,100,2,SB,1611084265
wanning,18,110,17,87,88,3,CN,1611084265
matara,5,80,24,90,96,1,LK,1611084265
apollonia,36,24,8,49,13,9,GR,1611084265
strangnas,59,17,1,86,90,3,SE,1611084265
ilheus,-14,-39,29,70,75,4,BR,1611084194
sangamner,19,74,22,51,0,2,IN,1611084266
san cristobal,7,-72,31,51,40,5,VE,1611084207
kinango,-4,39,23,83,76,3,KE,1611084009
tsurugi,36,136,-1,86,75,1,JP,1611084266
estelle,29,-90,22,56,20,5,US,1611084266
panuco,22,-98,24,73,20,6,MX,1611084266
batemans bay,-35,150,13,75,57,1,AU,1611084266
betioky,-23,44,25,77,1,5,MG,1611084266
pieve di soligo,45,12,1,81,100,1,IT,1611084266
iralaya,15,-83,27,74,55,6,HN,1611084266
kupiskis,55,24,-12,92,0,4,LT,1611084267
arkhipo-osipovka,44,38,-5,74,34,2,RU,1611084267
lebedinyy,58,125,-28,84,100,6,RU,1611084267
hirara,24,125,19,73,0,10,JP,1611084267
mishan,45,131,-25,82,53,1,CN,1611084267
paratinga,-12,-43,32,31,12,1,BR,1611084267
olbia,40,9,7,81,0,3,IT,1611084062
kalabo,-14,22,20,90,100,2,ZM,1611084267
ridgecrest,35,-117,11,17,90,12,US,1611084267
baruun-urt,46,113,-17,90,83,7,MN,1611084267
walvis bay,-22,14,19,82,59,4,NA,1611084268
sorland,67,12,2,64,0,8,NO,1611084268
verkhoyansk,67,133,-36,80,100,0,RU,1611084268
helena,46,-112,0,64,1,2,US,1611084268
lazaro cardenas,17,-102,30,46,0,2,MX,1611084036
tutzing,47,11,5,81,90,8,DE,1611084268
grenville,12,-61,29,65,20,10,GD,1611084268
beian,63,9,1,64,0,8,NO,1611084268
